IDCNTRY;Variable;Mean;stdev;TOTWGT;NObs;TOTWGT.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
New Zealand;BSDGSLM;2,32703712677105;,705590936730633;54078,583186;7879;1296,15232852097;,0157652574427531;,0056486791759787;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway;BSDGHER;1,72114736939932;,480451178018827;58656,817412;4631;1010,08382488598;,0133444866494115;,00518315853018165;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway;BSDGSLM;2,39527620919401;,703931059218678;58656,817412;4631;1010,08382488598;,017323303945688;,00714397479807327;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway (8);BSDGHER;1,76101745610144;,454742689633997;57499,9704030003;4721;1066,05492252777;,0125181269997688;,00605633129937337;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway (8);BSDGSLM;2,30183575379881;,746502356034508;57499,9704030003;4721;1066,05492252777;,0187109353932064;,00738657492137881;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Oman;BSDGHER;2,22155260666015;,536654581787954;45305,3054229997;8634;889,914846287847;,0117974177749553;,00501568513606224;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Oman;BSDGSLM;1,77747157307803;,71048244061205;45305,3054229997;8634;889,914846287847;,0159193695089183;,00587291616145331;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Qatar;BSDGHER;1,94191046011541;,464630163806188;15342,9008350002;5298;134,489947052266;,00868493697162171;,00837897048583388;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Qatar;BSDGSLM;2,17829421192369;,750221973725104;15342,9008350002;5298;134,489947052266;,0151333918326137;,00617397323494482;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Russian Federation;BSDGHER;1,92029767971897;,403898144852235;1251617,18881302;4757;36340,6513081284;,00850736522129872;,00727303295914563;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
