IDCNTRY;ASBG01;dvar;n;TOTWGT;p10;p10_se;p50;p50_se;p90;p90_se;weight;reps;method;jk2type;npv;shortcut;date;time;infile;selcrit
Sweden;Boy;ASRREA0;2219;52765,3496949999;456,08024;4,76439200455106;554,381082;3,00597071016902;628,012566;5,37739335004574;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Trinidad And Tobago;Girl;ASRREA0;2129;9290,506688;371,459424;6,92004439100546;496,133676;4,72981508888729;596,579568;4,75864490110723;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Trinidad And Tobago;Boy;ASRREA0;1987;8559,129666;333,728358;9,8630999010901;473,888168;6,2803198800741;588,830594;5,32850842951068;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates;Girl;ASRREA0;8013;36721,2418770002;329,383194;7,15492688977645;468,432148;5,01344054591397;595,689386;4,24107097190747;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United Arab Emirates;Boy;ASRREA0;8408;38635,8282360003;278,792194;6,27488359656462;441,186422;6,12508057893316;585,195876;3,68317098104413;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Egypt;Girl;ASRREA0;3387;758222,077511993;192,763702;9,79755753447838;358,87678;6,90599497270888;489,949446;7,32888800108827;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Egypt;Boy;ASRREA0;3521;774959,544663994;134,839164;9,78851128162888;318,060496;9,2856294598991;476,690866;7,56950204824836;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United States;Girl;ASRREA0;2209;1763256,332069;452,248494;6,23195611952508;558,328426;3,89848523694474;648,476078;5,8935375655224;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
United States;Boy;ASRREA0;2201;1794628,302603;439,419944;6,80860838815143;552,93088;5,0102683777129;639,70224;4,74736956660521;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
England;Girl;ASRREA0;2529;285990,314998001;464,90655;4,75805861781252;572,383636;3,69695845638224;660,722904;4,95329223399304;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
England;Boy;ASRREA0;2527;285661,699544;446,865902;4,70723638101102;556,45946;4,18540942051798;649,026416;5,19078969770451;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Northern Ireland;Girl;ASRREA0;1833;11124,26274;478,318312;8,22827985896167;578,789372;3,73641842828051;667,181858;3,26875223062008;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Northern Ireland;Boy;ASRREA0;1846;10996,716797;445,910972;6,45916517450547;562,26182;2,87284428158575;656,305622;4,72291971084659;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
