SGENDER;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
BOY;10;PVCIV;IDCNTRY;Bulgaria;Slovak Republic;318,564082478314;6,59690782199578;401,212666403745;7,71265684000238;82,6485839254311;10,1491018491069;8,14343822283193;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Slovenia;318,564082478314;6,59690782199578;384,178225441961;6,27742768705245;65,6141429636462;9,10633247680326;7,20533135933554;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Spain;318,564082478314;6,59690782199578;378,500078454722;10,3540241660202;59,9359959764076;12,2770114133057;4,88196955746489;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Sweden;318,564082478314;6,59690782199578;394,693312455434;9,60505859480016;76,1292299771201;11,6523106473117;6,53340202483221;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Switzerland;318,564082478314;6,59690782199578;411,307149936545;7,44717629290305;92,7430674582308;9,94885056423536;9,32198818943249;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Thailand;318,564082478314;6,59690782199578;333,705807777617;5,50813941947877;15,141725299303;8,59411383892051;1,76187162319517;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;England;318,564082478314;6,59690782199578;363,148051415151;11,4435842209921;44,5839689368365;13,2088914233878;3,37529982704647;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Belgium (Flemish);318,564082478314;6,59690782199578;397,637536819188;8,19637374419572;79,0734543408735;10,5213941740841;7,51549205671283;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Chile;Austria;364,620163597027;6,11685306166358;362,306844454078;10,6197173219189;-2,31331914294908;12,2553778960686;-,18875951134001;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Chile;Bulgaria;364,620163597027;6,11685306166358;318,564082478314;6,59690782199578;-46,0560811187132;8,99639284323957;-5,11939417511347;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Chile;Chile;364,620163597027;6,11685306166358;364,620163597027;6,11685306166358;0;8,65053655884802;0;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Chile;Chinese Taipei;364,620163597027;6,11685306166358;417,40590040432;6,63034396000892;52,7857368072923;9,02093966313986;5,85146767170811;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
