"";"IDCNTRY";"BSBG01";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"93";"Jordan";"Girl";"BSMMAT0";"Percentile";50;90;396,49981;5,15979028294173;508,084922;5,11097841861068;111,585112;5,27977469856284;21,1344457615537;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"94";"Jordan";"Boy";"BSMMAT0";"Percentile";10;50;249,12406;7,60552519717146;377,62495;6,05780746662354;128,50089;5,95320909863327;21,5851464094384;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"95";"Jordan";"Boy";"BSMMAT0";"Percentile";10;90;249,12406;7,60552519717146;501,768888;5,62040501838297;252,644828;7,63552344340287;33,0880822870482;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"96";"Jordan";"Boy";"BSMMAT0";"Percentile";50;90;377,62495;6,05780746662354;501,768888;5,62040501838297;124,143938;4,73380989615172;26,22495214709;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"97";"Korea, Republic of";"Girl";"BSMMAT0";"Percentile";10;50;497,20833;4,72236012503072;609,306376;3,34111252817469;112,098046;4,4906873416289;24,9623359348235;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"98";"Korea, Republic of";"Girl";"BSMMAT0";"Percentile";10;90;497,20833;4,72236012503072;706,270258;5,86543041355313;209,061928;6,68146511897157;31,2898330347311;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"99";"Korea, Republic of";"Girl";"BSMMAT0";"Percentile";50;90;609,306376;3,34111252817469;706,270258;5,86543041355313;96,963882;5,863289133352;16,5374553078822;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"100";"Korea, Republic of";"Boy";"BSMMAT0";"Percentile";10;50;486,05628;4,44227000508076;613,799702;3,5396545702913;127,743422;4,03301565381099;31,674417598476;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"101";"Korea, Republic of";"Boy";"BSMMAT0";"Percentile";10;90;486,05628;4,44227000508076;714,644418;5,09126878830843;228,588138;5,35944182618338;42,6514822650448;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"102";"Korea, Republic of";"Boy";"BSMMAT0";"Percentile";50;90;613,799702;3,5396545702913;714,644418;5,09126878830843;100,844716;4,64198786231673;21,7244678338453;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"103";"Kuwait";"Girl";"BSMMAT0";"Percentile";10;50;292,768408;7,94765237000109;393,762144;4,41397721688682;100,993736;6,98965964182781;14,4490205782881;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"104";"Kuwait";"Girl";"BSMMAT0";"Percentile";10;90;292,768408;7,94765237000109;501,55364;7,13657682985756;208,785232;10,2666023977684;20,3363512008007;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
