"";"IDCNTRY";"SGENDER";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"70";"Greece";"GIRL";"PVCIV";"Percentile";10;50;364,409861856759;9,17889404195302;496,89995822566;8,69642832151461;132,490096368901;9,84158219454276;13,4622760598766;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"71";"Greece";"GIRL";"PVCIV";"Percentile";10;90;364,409861856759;9,17889404195302;612,355613632845;6,60360859321269;247,945751776086;10,7459867921477;23,0733348711414;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"72";"Greece";"GIRL";"PVCIV";"Percentile";50;90;496,89995822566;8,69642832151461;612,355613632845;6,60360859321269;115,455655407185;7,99699847154269;14,4373736993991;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"73";"Guatemala";"BOY";"PVCIV";"Percentile";10;50;337,070635621907;5,98529245629928;430,865211781478;5,1983255205339;93,7945761595712;5,66645151243797;16,5526125042613;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"74";"Guatemala";"BOY";"PVCIV";"Percentile";10;90;337,070635621907;5,98529245629928;535,805780175258;9,80782023502382;198,735144553352;10,5779893911022;18,7876105000181;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"75";"Guatemala";"BOY";"PVCIV";"Percentile";50;90;430,865211781478;5,1983255205339;535,805780175258;9,80782023502382;104,94056839378;8,99885053817295;11,6615525448083;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"76";"Guatemala";"GIRL";"PVCIV";"Percentile";10;50;340,435463466196;7,37856475423922;433,388832664695;6,21725360531946;92,9533691984988;9,01848798768704;10,3069793213018;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"77";"Guatemala";"GIRL";"PVCIV";"Percentile";10;90;340,435463466196;7,37856475423922;533,282159292041;10,2466811862447;192,846695825845;11,7260901187474;16,4459503443117;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"78";"Guatemala";"GIRL";"PVCIV";"Percentile";50;90;433,388832664695;6,21725360531946;533,282159292041;10,2466811862447;99,893326627346;10,0197248389726;9,96966765382643;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"79";"Hong Kong, SAR";"BOY";"PVCIV";"Percentile";10;50;397,847838559387;19,3957043591601;550,737203734293;8,53213624764583;152,889365174906;16,3292225655342;9,36292983706444;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"80";"Hong Kong, SAR";"BOY";"PVCIV";"Percentile";10;90;397,847838559387;19,3957043591601;671,029799167645;10,5549687122563;273,181960608258;19,7347762637123;13,8426682399525;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"81";"Hong Kong, SAR";"BOY";"PVCIV";"Percentile";50;90;550,737203734293;8,53213624764583;671,029799167645;10,5549687122563;120,292595433351;9,60045295621303;12,5298874940586;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"82";"Hong Kong, SAR";"GIRL";"PVCIV";"Percentile";10;50;450,843877106947;12,0827455195111;568,402549916813;7,78400578654153;117,558672809866;10,4009041200102;11,3027359403973;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
