"";"BSBG01";"percentile";"dvar";"groupvar";"refgroup";"compgroup";"val";"val_se";"cval";"cval_se";"valdiff";"valdiff_se";"valdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"3787";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Malaysia";446,289514;8,21701109689016;405,644614;4,76824477291236;-40,6449;9,50028576311377;-4,27828183419595;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3788";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Malta";446,289514;8,21701109689016;503,515332;3,62439958850619;57,225818;8,98084315326684;6,37198724255459;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3789";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Morocco";446,289514;8,21701109689016;368,851112;4,29872922454349;-77,438402;9,27352922637117;-8,35047802295032;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3790";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Oman";446,289514;8,21701109689016;417,971646;3,49422814576636;-28,317868;8,92910419365134;-3,17141197883369;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3791";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"New Zealand";446,289514;8,21701109689016;472,221354;6,28962662418574;25,93184;10,3478826065085;2,5060044635305;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3792";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Norway";446,289514;8,21701109689016;504,8098;4,20470395020266;58,520286;9,23031996602858;6,34000622030212;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3793";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Portugal";446,289514;8,21701109689016;466,284918;3,92557917169608;19,995404;9,10656044836195;2,19571419015801;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3794";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Qatar";446,289514;8,21701109689016;446,289514;8,21701109689016;0;11,6206085353923;0;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3795";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Romania";446,289514;8,21701109689016;501,655652;8,03007694083527;55,366138;11,4891865265627;4,81897807751618;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3796";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Saudi Arabia";446,289514;8,21701109689016;393,522138;4,68573209443134;-52,767376;9,45914143182138;-5,57845301080771;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3797";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Singapore";446,289514;8,21701109689016;614,36848;7,30310998757796;168,078966;10,9933928728613;15,2890893597487;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3798";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"South Africa";446,289514;8,21701109689016;395,283918;3,53211469586764;-51,005596;8,94399830004345;-5,70277344526689;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3799";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Sweden";446,289514;8,21701109689016;517,441452;3,66973897507908;71,151938;8,99923638491792;7,90644171979365;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3800";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"United Arab Emirates";446,289514;8,21701109689016;482,19706;2,68882948394463;35,907546;8,6457547594265;4,15319969154224;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3801";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Turkey";446,289514;8,21701109689016;509,236372;5,9285070123391;62,946858;10,1324462377932;6,21240483519303;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3802";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"United States";446,289514;8,21701109689016;480,577346;6,14818117153648;34,287832;10,2625242062785;3,34107197321134;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3803";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Uzbekistan";446,289514;8,21701109689016;412,508046;3,8794737971323;-33,781468;9,0867809651742;-3,71764964176755;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3804";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"England";446,289514;8,21701109689016;517,159436;6,67377088662887;70,869922;10,58576823918;6,694830304115;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3805";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"United Arab Emirates (Dubai)";446,289514;8,21701109689016;539,194846;3,90738916701887;92,905332;9,09873405859037;10,2107976122552;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3806";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"United Arab Emirates (Abu Dhabi)";446,289514;8,21701109689016;449,656428;4,6699567668806;3,36691400000001;9,45133681396182;0,356236801869794;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3807";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"United Arab Emirates (Sharjah)";446,289514;8,21701109689016;491,244914;6,84106428715635;44,9554;10,6920265594237;4,20457242134115;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3808";"Girl";50;"BSMMAT0";"IDCNTRY";"Romania";"Azerbaijan, Republic of";501,655652;8,03007694083527;482,08194;6,35321394136224;-19,573712;10,2394073588491;-1,91160594690902;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3809";"Girl";50;"BSMMAT0";"IDCNTRY";"Romania";"Australia";501,655652;8,03007694083527;503,304188;5,32177344181842;1,64853600000001;9,63345256083084;0,171126186545298;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3810";"Girl";50;"BSMMAT0";"IDCNTRY";"Romania";"Austria";501,655652;8,03007694083527;513,726494;2,41890669112436;12,070842;8,38649183247087;1,4393195916872;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3811";"Girl";50;"BSMMAT0";"IDCNTRY";"Romania";"Bahrain";501,655652;8,03007694083527;427,120016;4,12483278252659;-74,535636;9,02753461137316;-8,25647745577156;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3812";"Girl";50;"BSMMAT0";"IDCNTRY";"Romania";"Brazil";501,655652;8,03007694083527;362,535916;2,8800554383164;-139,119736;8,53093517754708;-16,307677072281;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3813";"Girl";50;"BSMMAT0";"IDCNTRY";"Romania";"Chile";501,655652;8,03007694083527;401,023834;4,2028682350659;-100,631818;9,06345613312385;-11,1030291890778;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
