IDCNTRY;Variable;ASDGHRL;ASDGSLR;ASDGHRL.se;ASDGSLR.se;xvar;corrtype;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Poland;ASDGSLR;,0552478642804421;1;,0194851033662187;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Portugal;ASDGHRL;1;,0221440408995915;0;,0189123388088454;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Portugal;ASDGSLR;,0221440408995915;1;,0189123388088454;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Qatar;ASDGHRL;1;,0311186843055662;0;,0101255191405891;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Qatar;ASDGSLR;,0311186843055662;1;,0101255191405891;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Russian Federation;ASDGHRL;1;,0749391822690987;0;,0179153839015897;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Russian Federation;ASDGSLR;,0749391822690987;1;,0179153839015897;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Russian Federation, Moscow;ASDGHRL;1;,128135291674504;0;,0157711863457917;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Russian Federation, Moscow;ASDGSLR;,128135291674504;1;,0157711863457917;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Saudi Arabia;ASDGHRL;1;,0524566914099313;0;,0219432564331025;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
