IDCNTRY;Variable;TOTWGT;mean;stdev;TOTWGT.se;mean.se;stdev.se;NObs;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Morocco;BSDAGE;597888,712370996;14,3595918063888;1,06526979122646;9614,50767849216;,0283597571863302;,0197443584436544;8727;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Morocco;BSMMAT0_;597888,712370996;377,918131105712;75,065288897867;9614,50767849216;3,01112089207711;1,47336833798391;8727;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
New Zealand;BSDAGE;60808,578114;13,9285928458442;,34473317354648;1913,70383990656;,014077004499654;,00586776803840353;3930;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
New Zealand;BSMMAT0_;60808,578114;485,489513916645;95,7057474464006;1913,70383990656;4,06529687592291;2,26061170213513;3930;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Norway;BSDAGE;59950,7286489988;14,7764018525023;,299816228721834;935,815031189827;,0060345159234712;,00417172769979106;6322;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Norway;BSMMAT0_;59950,7286489988;500,631815881575;82,0559829475089;935,815031189827;2,2506701664992;,910218236947842;6322;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Oman;BSDAGE;65244,7726790002;13,7758353072515;,493456860377673;391,970367584427;,0127349242044597;,013916975450214;8226;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Oman;BSMMAT0_;65244,7726790002;410,877904513425;90,9943294407234;391,970367584427;2,70907258508543;1,34889104441046;8226;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Palestinian National Authority;BSDAGE;110085,027246999;13,8551029942291;,371547706210212;865,70872911479;,00495998020206918;,00628497290527934;6532;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Palestinian National Authority;BSMMAT0_;110085,027246999;381,659025901491;89,3288015749966;865,70872911479;2,96671861078295;1,39540440680851;6532;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Portugal;BSDAGE;102038,955992;14,0952506796025;,619472809888972;2212,81123298615;,0141291702274226;,0178212450457169;5413;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Portugal;BSMMAT0_;102038,955992;475,488498630471;82,5426759627874;2212,81123298615;2,68671895133488;1,28943387898469;5413;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Qatar;BSDAGE;23221,6094939996;14,0438867861574;,736107896379058;489,928545973053;,020061389199577;,0204574496533804;4291;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Qatar;BSMMAT0_;23221,6094939996;451,414230372982;100,062144826342;489,928545973053;4,25135772338534;2,77533739120212;4291;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Romania;BSDAGE;159689,814683001;15,0098656068966;,467899252994058;4941,33777031884;,0140492468821802;,0232296437346678;3720;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
